epoch,mean_reward,mean_steps,mean_llm_calls,loss,actor_loss,critic_loss,entropy,entropy_loss
1,0.45499999999999996,3.0,2.0,-0.04224464297294617,-0.03609593709309896,0.011937584728002548,1.2117500305175781,-0.012117500106493631
2,0.20499999999999996,6.0,4.0,0.035496339201927185,0.006155205269654592,0.09031484524408977,1.5816284815470378,-0.015816286206245422
3,0.3425,6.0,4.0,0.34708118438720703,0.2926284869511922,0.14061954617500305,1.5857079823811848,-0.015857079376777012
4,0.45499999999999996,3.0,2.0,-0.0630340650677681,-0.05253577729066213,0.0032239146530628204,1.2110247611999512,-0.012110246966282526
5,0.45499999999999996,3.0,2.0,-0.020208289846777916,-0.01020080472032229,0.0036872231091062226,1.1851096153259277,-0.011851095904906591
6,0.45499999999999996,3.0,2.0,-0.1296069324016571,-0.12025908629099528,0.005512205262978871,1.2103947003682454,-0.012103946258624395
7,0.45499999999999996,3.0,2.0,-0.1155606284737587,-0.10643002390861511,0.005373042076826096,1.1817126274108887,-0.011817126224438349
8,0.30499999999999994,5.0,4.0,-0.08054033666849136,-0.06861745119094849,0.0060085862874984745,1.4927175521850586,-0.014927175641059876
9,0.605,3.0,2.0,0.23451636731624603,0.2240428924560547,0.04483593006928762,1.1944501399993896,-0.011944501350323359
10,0.63,3.0,2.0,0.20054864883422852,0.19654407103856406,0.03139500319957733,1.1692920525868733,-0.011692920078833898
