episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
1,Q008,0.5541,4,2,accepted,1,1.0,52.166,578,4,0,,,,,,,False
2,Q002,0.6272,4,2,accepted,1,1.0,2.619,380,8,0,,,,,,,False
3,Q018,0.2239,4,2,accepted,1,0.5,5.908,977,12,0,,,,,,,False
4,Q016,0.5291,4,2,accepted,1,1.0,9.072,1240,16,0,,,,,,,False
5,Q015,0.1611,4,2,accepted,1,0.5,5.399,1116,20,0,,,,,,,False
6,Q009,0.5282,4,2,accepted,1,1.0,4.228,745,24,0,,,,,,,False
7,Q007,0.6189,4,2,accepted,1,1.0,2.593,277,28,0,,,,,,,False
8,Q035,0.3455,4,2,accepted,1,0.5,7.025,908,32,0,,,,,,,False
9,Q006,0.4852,4,2,accepted,1,1.0,5.886,313,36,0,,,,,,,False
10,Q038,0.4921,4,2,accepted,1,1.0,5.002,1033,40,0,,,,,,,False
11,Q028,0.5857,4,2,accepted,1,1.0,20.163,438,44,0,,,,,,,False
12,Q003,0.4382,4,2,accepted,1,1.0,6.749,1209,48,0,,,,,,,False
13,Q002,0.6274,4,2,accepted,1,1.0,2.075,380,52,0,,,,,,,False
14,Q006,0.4815,4,2,accepted,1,1.0,9.337,332,56,0,,,,,,,False
15,Q014,0.2297,4,2,accepted,1,0.6667,7.414,1287,60,0,,,,,,,False
16,Q015,0.3752,4,2,accepted,1,1.0,3.927,1369,64,1,0.185196,-0.405089,nan,-0.528758,-0.277882,-0.416489,True
17,Q011,0.1949,4,2,accepted,1,0.5,55.73,1194,68,3,0.026792,-0.662196,nan,-0.520415,-0.025272,-0.831819,True
18,Q008,0.567,4,2,accepted,1,1.0,51.597,544,72,5,0.041368,-0.822296,nan,-0.698633,-0.302905,-0.782384,True
19,Q014,0.2706,4,2,accepted,1,0.5,56.644,399,76,7,0.01309,-0.657162,nan,-0.66707,-0.443078,-0.58343,True
20,Q018,0.2795,4,2,accepted,1,0.5,37.108,253,80,9,0.014578,-0.484192,nan,-0.563388,-0.403923,-0.519173,True
21,Q036,0.5304,4,2,accepted,1,1.0,23.025,320,84,11,0.017775,-0.459684,nan,-0.54612,-0.360871,-0.577875,True
22,Q026,0.5347,4,2,accepted,1,1.0,8.054,679,88,13,0.010281,-0.402876,nan,-0.504592,-0.233243,-0.664721,True
23,Q004,0.6302,4,2,accepted,1,1.0,31.577,281,92,15,0.005975,-0.425685,nan,-0.481207,-0.144943,-0.677738,True
24,Q032,0.3148,4,2,accepted,1,0.8,35.157,743,96,17,0.006323,-0.490787,nan,-0.507763,-0.137492,-0.670594,True
25,Q001,0.4674,9,4,accepted,1,1.0,6.238,1242,105,21,0.007735,-0.454702,nan,-0.435256,-0.111754,-0.61076,True
26,Q002,0.659,4,2,accepted,1,1.0,22.325,380,109,23,0.00888,-0.484085,nan,-0.411125,-0.139011,-0.665501,True
27,Q018,0.499,4,2,accepted,1,1.0,24.781,191,113,25,0.014725,-0.441932,nan,-0.458529,-0.195127,-0.637251,True
28,Q008,0.5614,4,2,accepted,1,1.0,6.121,566,117,27,0.005917,-0.44809,nan,-0.440501,-0.169601,-0.594436,True
29,Q036,0.5355,4,2,accepted,1,1.0,24.172,311,121,29,0.012052,-0.506515,nan,-0.536748,-0.227712,-0.625813,True
30,Q031,0.5702,4,2,accepted,1,1.0,22.837,414,125,31,0.012167,-0.473851,nan,-0.541167,-0.23302,-0.597266,True
