episode,question_id,total_reward,num_steps,num_llm_calls,final_status,verification_pass,citation_support,latency_seconds,token_usage,buffer_size,total_gradient_updates,critic_loss,actor_loss_retriever,actor_loss_rewriter,actor_loss_grader,actor_loss_generator,actor_loss_verifier,trained_so_far
1,Q008,0.5492,4,2,accepted,1,1.0,31.451,606,4,0,,,,,,,False
2,Q002,0.6269,4,2,accepted,1,1.0,3.412,380,8,0,,,,,,,False
3,Q018,0.5016,4,2,accepted,1,1.0,5.11,187,12,0,,,,,,,False
4,Q016,0.521,4,2,accepted,1,1.0,8.601,561,16,0,,,,,,,False
5,Q015,0.1209,4,2,accepted,1,0.5,4.912,480,20,0,,,,,,,False
6,Q009,0.2944,4,2,accepted,1,0.5,5.553,184,24,0,,,,,,,False
7,Q007,0.6189,4,2,accepted,1,1.0,2.548,277,28,0,,,,,,,False
8,Q035,0.4076,4,2,accepted,1,0.6667,21.039,650,32,1,0.164531,-0.394094,nan,-0.357397,-0.200616,-0.435068,True
9,Q023,0.5448,4,2,accepted,1,1.0,26.251,653,36,3,0.025945,-0.627798,nan,-0.598129,-0.150863,-0.890268,True
10,Q017,0.5655,4,2,accepted,1,1.0,33.768,710,40,5,0.041887,-0.656586,nan,-0.586302,-0.317093,-0.735699,True
11,Q016,0.5379,4,2,accepted,1,1.0,29.039,626,44,7,0.022078,-0.639796,nan,-0.653167,-0.415581,-0.64752,True
12,Q028,0.5789,4,2,accepted,1,1.0,41.75,434,48,9,0.010935,-0.506768,nan,-0.553348,-0.365545,-0.630507,True
13,Q004,0.6479,4,2,accepted,1,1.0,29.58,277,52,11,0.015091,-0.354035,nan,-0.422627,-0.199756,-0.625924,True
14,Q017,0.5523,4,2,accepted,1,1.0,33.392,742,56,13,0.01285,-0.397057,nan,-0.438348,-0.163413,-0.760705,True
15,Q027,0.3624,4,2,accepted,1,1.0,5.738,450,60,15,0.007566,-0.395254,nan,-0.405968,-0.057053,-0.76356,True
16,Q035,0.3666,4,2,accepted,1,0.6667,28.125,630,64,17,0.007982,-0.495202,nan,-0.505825,-0.136553,-0.758447,True
17,Q003,0.1247,4,2,accepted,1,0.5,4.455,283,68,19,0.004987,-0.545449,nan,-0.522053,-0.247062,-0.661187,True
18,Q035,0.371,4,2,accepted,1,0.6667,27.441,620,72,21,0.008146,-0.578235,nan,-0.562494,-0.185269,-0.670185,True
19,Q012,0.0256,4,2,accepted,1,0.5,7.587,541,76,23,0.005062,-0.541406,nan,-0.543408,-0.215529,-0.670143,True
20,Q008,0.5584,4,2,accepted,1,1.0,8.098,552,80,25,0.005461,-0.518813,nan,-0.500658,-0.225084,-0.665151,True
21,Q027,0.3629,4,2,accepted,1,1.0,4.534,450,84,27,0.008476,-0.518598,nan,-0.559335,-0.217214,-0.64358,True
22,Q019,0.3193,4,2,accepted,1,0.5,4.169,330,88,29,0.008497,-0.503507,nan,-0.504149,-0.322303,-0.578287,True
23,Q038,0.5044,4,3,accepted,1,1.0,30.205,1462,92,31,0.00704,-0.472123,nan,-0.523874,-0.289109,-0.584828,True
24,Q019,0.3323,4,2,accepted,1,0.5,4.434,344,96,33,0.004228,-0.508243,nan,-0.538986,-0.329141,-0.616671,True
25,Q018,0.5175,4,2,accepted,1,1.0,6.01,253,100,35,0.00653,-0.494562,nan,-0.548787,-0.317819,-0.511586,True
26,Q005,0.6934,4,2,accepted,1,1.0,3.834,320,104,37,0.009024,-0.532166,nan,-0.559021,-0.354546,-0.481073,True
27,Q007,0.6191,4,2,accepted,1,1.0,2.271,277,108,39,0.011771,-0.554198,nan,-0.606769,-0.302654,-0.630156,True
28,Q026,0.5373,4,2,accepted,1,1.0,8.695,665,112,41,0.008192,-0.489807,nan,-0.495909,-0.337394,-0.572887,True
29,Q016,0.5178,4,2,accepted,1,1.0,8.143,598,116,43,0.013766,-0.559795,nan,-0.475236,-0.20273,-0.499061,True
30,Q005,0.6935,4,2,accepted,1,1.0,3.535,320,120,45,0.005018,-0.723556,nan,-0.569601,-0.391335,-0.700744,True
